Customer_id,Age,Gender,City,Tenure (months),Monthly spend,Total orders,App usage time,Days since last login,Cart abandon rate,Support tickets,Discount usage,Payment method,Churn,Customer status,Spending segment,Engagement segment,Activity status,Revenue per order,Order frequency,Customer risk level
200000,56,Female,Pune,37,4303,73,202,264,0.65,25,0.15,UPI,No,stayed,Low,High,Churn Risk,2181,1.97,Medium Risk
200001,69,Female,Kolkata,5,4239,250,214,265,0.39,16,0.61,Card,No,stayed,Low,High,Churn Risk,85,50,Medium Risk
200002,46,Male,Hyderabad,62,16867,300,85,191,0.39,11,0.59,NetBanking,Yes,churned,High,Medium,Churn Risk,3486,4.84,Medium Risk
200003,32,Male,Hyderabad,31,17641,306,253,28,0.39,9,0.08,UPI,No,stayed,High,High,Active,1787,9.87,Medium Risk
200004,60,Male,Pune,107,12655,125,186,341,0.34,2,0.2,COD,No,stayed,Medium,High,Churn Risk,10833,1.17,Medium Risk
200005,25,Male,Pune,89,6896,94,93,320,0.45,0,0.71,NetBanking,Yes,churned,Medium,Medium,Churn Risk,6529,1.06,Medium Risk
200006,38,Male,Hyderabad,85,11712,255,205,285,0.06,18,0.88,COD,No,stayed,Medium,High,Churn Risk,3904,3,Medium Risk
200007,56,Female,Mumbai,82,17669,293,23,231,0.83,7,0.47,COD,No,stayed,High,Low,Churn Risk,4945,3.57,High Risk
200008,36,Female,Chennai,95,7529,157,82,100,0.38,4,0.33,Card,No,stayed,Medium,Medium,Churn Risk,4556,1.65,Medium Risk
200009,40,Male,Bangalore,119,6744,196,107,171,0.46,14,0.75,UPI,No,stayed,Medium,Medium,Churn Risk,4095,1.65,Medium Risk
200010,28,Male,Pune,56,9523,106,143,174,0.52,15,0.8,Card,No,stayed,Medium,Medium,Churn Risk,5031,1.89,Medium Risk
200011,28,Male,Chennai,24,3647,329,290,94,0.67,6,0.2,NetBanking,Yes,churned,Low,High,Churn Risk,266,13.71,Medium Risk
200012,41,Male,Pune,95,14408,105,173,12,0.1,8,0.33,UPI,No,stayed,Medium,Medium,Active,13036,1.11,Low Risk
200013,53,Male,Mumbai,2,5725,27,90,344,1,11,0.09,NetBanking,Yes,churned,Medium,Medium,Churn Risk,424,13.5,Medium Risk
200014,57,Male,Kolkata,74,11235,205,113,20,0.81,19,0,COD,Yes,churned,Medium,Medium,Active,4056,2.77,Medium Risk
200015,41,Male,Bangalore,40,7472,374,275,171,0.6,13,0.49,NetBanking,Yes,churned,Medium,High,Churn Risk,799,9.35,Medium Risk
200016,20,Female,Chennai,84,9577,21,89,155,0.29,27,0.5,Card,Yes,churned,Medium,Medium,Churn Risk,38308,0.25,Medium Risk
200017,39,Male,Delhi,99,1770,277,181,150,0.28,23,0.35,UPI,No,stayed,Low,High,Churn Risk,633,2.8,Medium Risk
200018,19,Male,Mumbai,13,1070,147,123,146,0.45,22,0.88,COD,No,stayed,Low,Medium,Churn Risk,95,11.31,Medium Risk
200019,41,Female,Hyderabad,82,13442,194,83,244,0.84,10,0.81,UPI,No,stayed,Medium,Medium,Churn Risk,5682,2.37,Medium Risk
200020,61,Male,Kolkata,76,18891,26,138,19,0.37,11,0.4,COD,Yes,churned,High,Medium,Active,55220,0.34,Medium Risk
200021,47,Male,Bangalore,22,14710,20,159,207,0.71,21,0.34,COD,Yes,churned,Medium,Medium,Churn Risk,16181,0.91,Medium Risk
200022,55,Female,Pune,113,16795,221,296,309,0.55,1,0.57,Card,Yes,churned,High,High,Churn Risk,8587,1.96,Medium Risk
200023,19,Female,Mumbai,12,18913,78,19,316,0.86,26,0.64,Card,Yes,churned,High,Low,Churn Risk,2910,6.5,High Risk
200024,38,Male,Pune,31,13338,350,79,265,0.96,22,0.73,UPI,Yes,churned,Medium,Medium,Churn Risk,1181,11.29,Medium Risk
200025,50,Male,Kolkata,100,11142,160,288,233,0.37,15,0.4,UPI,No,stayed,Medium,High,Churn Risk,6964,1.6,Medium Risk
200026,29,Female,Pune,111,7184,379,220,262,0.09,26,0.46,NetBanking,No,stayed,Medium,High,Churn Risk,2104,3.41,Medium Risk
200027,39,Female,Mumbai,66,5587,318,173,28,0.52,11,0.32,NetBanking,Yes,churned,Medium,Medium,Active,1160,4.82,Medium Risk
200028,61,Female,Hyderabad,95,1520,244,287,326,0.21,11,0.97,COD,No,stayed,Low,High,Churn Risk,592,2.57,Medium Risk
200029,42,Male,Pune,90,3132,53,203,6,0.53,11,0.78,COD,No,stayed,Low,High,Highly Active,5318,0.59,Medium Risk
200030,66,Male,Chennai,41,1383,370,134,93,0.3,0,0.51,NetBanking,No,stayed,Low,Medium,Churn Risk,153,9.02,Medium Risk
200031,44,Female,Chennai,105,2204,127,278,4,0.15,25,0.61,UPI,No,stayed,Low,High,Highly Active,1822,1.21,Low Risk
200032,59,Female,Delhi,46,17853,238,71,284,0.53,16,0.56,COD,No,stayed,High,Low,Churn Risk,3451,5.17,Medium Risk
200033,45,Female,Bangalore,1,1047,86,153,314,0.15,25,0.25,Card,No,stayed,Low,Medium,Churn Risk,12,86,Medium Risk
200034,33,Male,Mumbai,48,2322,79,100,19,0.38,24,0.77,NetBanking,Yes,churned,Low,Medium,Active,1411,1.65,Medium Risk
200035,32,Female,Delhi,94,8386,72,164,286,0.09,18,0.78,Card,Yes,churned,Medium,Medium,Churn Risk,10948,0.77,Medium Risk
200036,64,Male,Bangalore,86,18149,57,49,66,0.85,9,0.8,COD,No,stayed,High,Low,Dormant,27383,0.66,Medium Risk
200037,68,Male,Chennai,64,18883,30,133,72,0.35,11,0.33,UPI,No,stayed,High,Medium,Dormant,40284,0.47,Medium Risk
200038,61,Female,Mumbai,51,17952,146,51,23,0.21,1,0.02,COD,Yes,churned,High,Low,Active,6271,2.86,Medium Risk
200039,69,Male,Chennai,33,3400,196,66,345,0.22,20,0.96,Card,No,stayed,Low,Low,Churn Risk,572,5.94,Medium Risk
200040,20,Male,Chennai,28,16422,4,14,296,0.06,19,0.1,NetBanking,Yes,churned,High,Low,Churn Risk,114954,0.14,Medium Risk
200041,54,Male,Kolkata,67,17068,371,180,141,1,20,0.73,COD,Yes,churned,High,Medium,Churn Risk,3082,5.54,Medium Risk
200042,68,Female,Bangalore,11,3100,196,157,53,0.74,4,0.74,NetBanking,No,stayed,Low,Medium,Dormant,174,17.82,Medium Risk
200043,24,Female,Pune,44,7009,150,189,346,0.66,24,0.46,UPI,No,stayed,Medium,High,Churn Risk,2056,3.41,Medium Risk
